album	artist	genre	release_date	critic	score	body
Silver Age	Bob Mould	Pop/Rock	2012-09-04 00:00:00	AllMusic	80.0	This is a king rightfully reclaiming his dominion.
Rock'n'Roll	Ryan Adams	Indie	2003-11-04 00:00:00	JojoS.	66.0	"""So Alive"" or the title song are such emotional (and great!) songs! I really wonder what some of the critics / users consider ""emotional"" if""So Alive"" or the title song are such emotional (and great!) songs! I really wonder what some of the critics / users consider ""emotional"" if not those songs. Every Ryan Adams album is different and that&#039;s a great thing. If you like good music, here&#039;s another Ryan Adams album full of it, although it&#039;s not the album of the millenium by any means.&hellip;Full Review &raquo;"
Jump Leads	Fila Brazillia	Electronic	2002-02-26 00:00:00	Rolling Stone	73.0	Jump Leads escalates the surging energy infused in their up-tempo and electrifying approach.
Ten Silver Drops	Secret Machines	Indie	2006-04-25 00:00:00	Stylus Magazine	75.0	While it's admirable that The Secret Machines are trying to solidify their niche as the go-to guys for soundtracking laser light shows (or at least My Morning Jacket for indoor kids), Ten Silver Drops is a sideways moonwalk that won't get them any further away from the planetarium circuit.
Finally Rich	Chief Keef	Rap	2012-12-18 00:00:00	miisher	62.0	"What you have to understand is that this isnt meant to be super lyrical and deep rap music like Kendrick Lamar or Lupe Fiasco. This is meantWhat you have to understand is that this isnt meant to be super lyrical and deep rap music like Kendrick Lamar or Lupe Fiasco. This is meant to pump up people and ""Go Hard"" at pep rallys, in the locker room before a game, or when your at a party. Most of the songs on this album are pretty ehh, but the ones that are good definitly go hard, similar to Keef's last mixtape.&hellip;Full Review &raquo;"
Knowle West Boy	Tricky	Electronic	2008-09-09 00:00:00	Rolling Stone	70.0	It's variety that makes this Tricky's best since his 1995 debut, Maxinquaye.
Cannibal	Ke$ha	Pop	2010-11-22 00:00:00	Spin	73.0	Constant club-pop hooks, courtesy of executive producer Dr. Luke (with help from mentor Max Martin plus Benny Blanco, Ammo, and others) render the hypocrisy nearly irrelevant; but if they dry up, yikes.
Pajama Club	Pajama Club	Pop/Rock	2011-09-13 00:00:00	The Independent (UK)	70.0	Despite the propulsive energy sustained throughout, some tracks lack focus.
Trackless Woods	Iris DeMent	Country	2015-08-07 00:00:00	PopMatters	80.0	The Trackless Woods most certainly suggests we need Dement to carry on making unusual and charming records like this, rescuing austerity from the mealy mouths of politicians, to transform hard times into fine moments of beauty.
La  Vie Est Belle	Petite Noir	Pop/Rock	2015-09-11 00:00:00	PopMatters	79.0	It’s easy to mistake Ilunga for a veteran pop-maestro, but there are a few missteps that reveal his relative youth.
Beat the Champ	The Mountain Goats	Pop/Rock	2015-04-07 00:00:00	Los Angeles Times	79.0	Throughout Beat the Champ, Darnielle and his band exude confidence and a sense of purpose.
Island Fire	Gemma Ray	Pop/Rock	2012-05-29 00:00:00	DIY Magazine	70.0	there is an extremely satisfying sense of fun throughout Island Fire (despite the dark content) and Ray is very much in on the joke.
Physical Graffiti [Remastered]	Led Zeppelin	Pop/Rock	2015-02-24 00:00:00	knoxvox	97.0	This is the true definition of a 10/10 album. How it's user score is 7.3 is beyond me. Simply put its one of the best albums ever created.This is the true definition of a 10/10 album. How it's user score is 7.3 is beyond me. Simply put its one of the best albums ever created. It's Zep at the height of their powers - their best album. it also happens to be the most underplayed of their best albums. Absolutely an album that should be in every (music lovers) home. Great remaster too! Get it!&hellip;Full Review &raquo;
Toward the Low Sun	Dirty Three	Pop/Rock	2012-02-28 00:00:00	No Ripcord	78.0	It's good, but it's not essential.
The Winter Of Mixed Drinks	Frightened Rabbit	Indie	2010-03-09 00:00:00	Filter	78.0	Like its predeccessor, though, this set is a compelling document of brilliant truths and lies and dramatic threats and regrets. [Winter 2010, p.100]
Body Talk, Pt. 2	Robyn	Pop	2010-09-07 00:00:00	NOW Magazine	76.0	On the first three tracks, she tackles enduring pop-music themes like love, loneliness and friendship with the kind of unsentimental yet empathetic songwriting fans of the Pet Shop Boys might admire. Midway, her worldly confidence morphs into outright cockiness and the beats grow aggressive.
Two	Utah Saints	Dance	2001-07-31 00:00:00	CDNow	67.0	The only caveat toward Two? The Saints still rock, but they don't rave quite as hard.
Congratulations	MGMT	Rock	2010-04-13 00:00:00	Rolling Stone	72.0	With Congratulations, they attempt to not just keep it weird--which they've done--but to figure out how they can be in it for the long haul. It's a solid start.
Spaces Everywhere	The Monochrome Set	Pop/Rock	2015-03-17 00:00:00	Magnet	78.0	Bid's disaffected-yet-engaging vocals and slice-of-life lyrics remain compelling as ever. [No. 118, p.59]
Born to Die	Lana Del Rey	Pop/Rock	2012-01-31 00:00:00	musicOMH.com	62.0	There's just enough promise here to show that there is indeed talent beyond all the hype.
Thing	Trans Am	Indie	2010-04-20 00:00:00	Tiny Mix Tapes	72.0	For the duration of their career, Trans Am have described landscapes as if from a balloon, as if the universe is readily recognizable, and yet they've continued to do so with an oddly hued and surreal perspective. Thing welcomingly continues this delicate balance between the strange and the familiar.
Ancient Romans	Sun Araw	Pop/Rock	2011-08-23 00:00:00	cokemachineglow	75.0	There's a real, meticulous attempt at achieving the same playful, wandering state of mind of the pre-'80s experimental classics that inspire these songs, rather than pulling from any overwhelming examples.
Wolves Within	After the Burial	Pop/Rock	2013-12-17 00:00:00	AllMusic	72.0	After the Burial might have a sound that's heavier and more mechanical than their prog forefathers, but that doesn't diminish the massive amounts of technical and creative power at work on Wolves Within.
Girl on Fire	Alicia Keys	R&B;	2012-11-27 00:00:00	Uncut	69.0	Her technical brilliance remains stunning; it's now matched by her maturity and modernity. [Jan 2013, p.74]
Devotion	Jessie Ware	Pop/Rock	2012-08-20 00:00:00	Drowned In Sound	85.0	Devotion contains just enough variety to make for an enticing listen.
High Violet	The National	Indie	2010-05-11 00:00:00	Entertainment Weekly	85.0	Their fifth album High Violet is slow to blossom; its sumptuous layers and stately pace can feel almost funereal, and frontman Matt Berninger often sounds badly in need of Paxil. But Violet eventually burrows in, and stays.
Everything's OK	Al Green	R&B;	2005-03-15 00:00:00	Vibe	76.0	"Way, way better than just ""OK."" [Apr 2005, p.168]"
Get The Picture	Smash Mouth	Rock	2003-08-05 00:00:00	HMW	61.0	This album is great, my favorite songs are You are my Number One, Fun, New Planet, and Looking For A Wall, but all the songs are good. LookingThis album is great, my favorite songs are You are my Number One, Fun, New Planet, and Looking For A Wall, but all the songs are good. Looking foward to their next album!&hellip;Full Review &raquo;
Believe	Disturbed	Rock	2002-09-17 00:00:00	Spin	62.0	Believe sounds so dry and crisp it could have been recorded on a Dell laptop. [Oct 2002, p.113]
Our Inventions	Lali Puna	Indie	2010-04-27 00:00:00	AllMusic	72.0	"There are no real standouts, no (relatively) big hooks as heard on Scary World Theory's ""Lowdown""; instead, there is a steady stream of hushed electronic pop songs that is as easy to enjoy as it is to ignore."
MPLSound	Prince	Rock	2009-03-29 00:00:00	Vibe	62.0	If after swallowing that Elixer, you still have the stamina for more, you will be amply rewarded by Minneapolis Sound, or as Prince spells it, MPLSoUND.
Red Barked Tree	Wire	Pop/Rock	2011-01-11 00:00:00	Deathromp	77.0	Initially I came across Pink Flag after a recommendation from Evan Dando of the Lemonheads (my second personal encounter, but I digress) - IInitially I came across Pink Flag after a recommendation from Evan Dando of the Lemonheads (my second personal encounter, but I digress) - I can&acirc;&hellip;Full Review &raquo;
Let Me Introduce My Friends	I'm from Barcelona	Indie	2007-03-20 00:00:00	Magnet	66.0	What the album lacks in diversity and lyrical depth it more than makes up for with Technicolor-daydream choruses. [#75, p.98]
The Blueprint 3	Jay-Z	Rap	2009-09-08 00:00:00	D.T	65.0	"A Half decent effort....& a half terrible album! Has glimpse&#039;s of why we love Jay-Z & also has moments of how he can be a ignorant toA Half decent effort....& a half terrible album! Has glimpse&#039;s of why we love Jay-Z & also has moments of how he can be a ignorant to the point were you think ""Is this guy serous"" However songs like ""Thank you"" ""Off That"" & ""D.O.A"" Are great & demonstrate how advanced his head is interms of creativity (When its not up his Arse) D.Tail&hellip;Full Review &raquo;"
Centralia	Mountains	Electronic	2013-01-22 00:00:00	Delusions of Adequacy	83.0	These seven pieces invite the listener into an engrossing experience, one that requires attention but in the end, Centralia is a moving album.
Security Screenings	Prefuse 73	Electronic	2006-02-07 00:00:00	Dusted Magazine	68.0	There's no arguing that it's pretty entertaining.... But there's the nagging sense that it's all sound and fury.
Rivers	Wildbirds & Peacedrums	Pop/Rock	2010-08-24 00:00:00	Prefix Magazine	77.0	A case could be made that this is a newfound maturity, and without a doubt Rivers is no second-hand attempt. However, sans even a single convulsive whirlwind, Rivers is more musical wallpaper than a masterpiece.
Blood & Chemistry	Arcane Roots	Pop/Rock	2013-09-24 00:00:00	Kerrang!	71.0	Arcane Roots have delivered one of 2013's best albums. [4 May 2013, p.53]
Untogether	Blue Hawaii	Pop/Rock	2013-03-05 00:00:00	RussellChap	69.0	Unlike Raphaelle Standell-Preston and Alexander Cowan's debut album (the self released Blooming Summer)  the duo's second album, Untogether,Unlike Raphaelle Standell-Preston and Alexander Cowan's debut album (the self released Blooming Summer)  the duo's second album, Untogether,  was recorded with the couple (in the romantic sense) producing most of it separately. Standell-Preston recording her half in Canada and Cowan his half in Europe. The resulting music gathered here has a strange lack of centre which produces a dreamlike vibe. Even the techno tracks sound disembodied. Never is there a sense of ennui or tedium on these tracks. For every dub techno moodscape their is a pretty dream pop song.Untogether is the sound of a couple working apart with the space between filled with a sense of yearning and dissociation. From the giddy love of Blooming Summer to the ghostly detachment of Untogether Blue Hawaii have produced two contrasting albums reflecting contrasting sides of a romantic, musical relationship.&hellip;Full Review &raquo;
Black Rebel Motorcycle Club	Black Rebel Motorcycle Club	Rock	2001-04-03 00:00:00	New Musical Express (NME)	72.0	All of these incredible songs shimmer and vibrate with the riotous majesty of 'Psychocandy' without a trace of the Mary Chain's post-'Honey's Dead' self-parody.
Days of Gold	Jake Owen	Country	2013-12-03 00:00:00	Entertainment Weekly	71.0	At a certain point, all the blue skies, blue jeans, babes, bros, and brews just start to sound like... blah blah blah. [20 Dec 2013, p.60]
Under The Skin	Lindsey Buckingham	Rock	2006-10-03 00:00:00	Rolling Stone	80.0	With its skewed pop melodies, home-brewed sonic trickery and blazing fingerpicking, Under the Skin is a mesmerizing return to the side of Buckingham that birthed the proto-indie-pop strangeness of 1979's Tusk.
The Fall	Norah Jones	Rock	2009-11-17 00:00:00	Mojo	73.0	"The wrong kind of sonic adventure undermines about half the songs. A drop of Waitsian, drunken, junkyard percussion might have been just the ticket, but the plethora of drony guitar and keyboard distortions proves distracting, rather than ""atmospheric"", and impairs the effect of some strong songs including Back To Manhattan and Stuck. [Dec 2009, p. 88]"
